Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-02-08;0.005;0.046;0.009;0.75;49.458;34.083;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-09;0.004;0.018;0.026;0.375;42.583;17.375;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-10;0.004;0.016;0.027;0.354;28.667;16.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-11;0.004;0.019;0.025;0.379;27.167;16.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-12;0.004;0.028;0.022;0.471;27.583;16.667;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-13;0.005;0.056;0.007;0.792;40.25;29.708;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-14;0.005;0.031;0.027;0.483;44.25;31.25;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-15;0.007;0.071;0.007;1.058;58.708;45.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-16;0.011;0.063;0.013;1.562;79.792;64.583;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-17;0.004;0.016;0.031;0.342;40.458;15.5;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-18;0.004;0.021;0.029;0.392;27.542;14.917;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-02-19;0.004;0.038;0.018;0.562;40.75;27.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
